ISIN,Name,EOD Ticker,Ticker Type,Description,Company URL
DE000A0LR9G9,Exasol AG,EXL.XETRA,Common Stock,"Exasol AG develops database for analytics and data warehousing in Germany, Austria, Switzerland, Great Britain, North America, and internationally. It provides solutions to retail and e-commerce, finance analytics, and healthcare sectors. Exasol AG was founded in 2000 and is headquartered in Nuremberg, Germany.",https://www.exasol.com
DE0007274136,Sto SE & Co. KGaA,STO3.F,Common Stock,"Sto SE & Co. KGaA engages in the manufacture and sale of products and systems for building coatings in Europe, and internationally. The company offers facade systems, including external wall insulation and rainscreen cladding facade systems; facade coatings, such as render and paint systems; and interior products comprising plaster and paint systems for home and office interiors, decorative coatings, and interior claddings, as well as decorative coatings, interior claddings, and acoustic systems for regulating sounds. It also offers floor coatings, as well as products for concrete repair. The company serves professional customers, such as painters, plasterers, and building contractors, as well as architects, planning offices, and real estate industry through direct and multi-stage distribution systems. Sto SE & Co. KGaA was founded in 1955 and is headquartered in Stühlingen, Germany. The company is a subsidiary of Stotmeister Beteiligungs GmbH.",https://www.sto.de
DE0006942808,Scherzer & Co. AG,PZS.F,Common Stock,"Scherzer & Co. AG is a publicly owned investment manager. The firm provides its services to Institutional and private investors. The firm focuses on high-growth companies that have a sustainable business model. Scherzer & Co. AG was founded in 1880 and is based in Cologne, Germany.",https://www.scherzer-ag.de
DE000A2P4LJ5,PharmaSGP Holding SE,PSG.F,Common Stock,"PharmaSGP Holding SE manufactures and sells over-the-counter drugs and other healthcare products in Germany. The company's pharmaceutical products include Baldriparan for the treatment of sleep disorders; Spalt, Formigran, and Kamol massage creams for the treatment of various pain conditions; RubaXX pharmaceutical drops for the treatment of rheumatic pain in bones, tendons, and muscles; Restaxil pharmaceutical drops for the treatment of nerve pain in neck and back; Revitensin, a drug for the treatment of hair loss; Dorisol for neuralgia (nerve pain), headaches, and migraines; Fulminan, a beauty drink; Lindaven, a pharmaceutical drops to treat their unpleasant problem; and SCLEROCALMAN, a drug for the treatment of clogged cerebral blood vessels. It also offers Prostacalman, a medication for cystitis and urination discomfort in a benign enlarged prostate; Revoten for women with weak connective tissue; Mindalin, a micronutrient drink for a healthy cardiovascular system; MELISTON, a prescription-free tablets to treat anxiety, restlessness, and mood swings; Deruba, a cream for skin redness; Lentisol that prevents the formation of new pigment spots; Neodolor, a headache tablet; DESEO pharmaceutical drops for sexual weakness; Neradin, a drug for sexual dysfunction; and TAUMEA, a drug for the treatment of vertigo. The company sells its products through pharmacies and wholesalers. It also exports its products to European countries comprising Austria, Italy, Belgium, Spain, and France. The company was founded in 2012 and is based in Gräfelfing, Germany.",https://pharmasgp.com
DE0007551509,Uzin Utz AG,UZU.XETRA,Common Stock,"Uzin Utz SE develops, manufactures, and sells construction chemical system products in Germany, the United States, Netherlands, and internationally. It operates in Germany-Laying Systems, Germany- Machines and Tools, USA, Netherlands-Laying Systems, Netherlands-Wholesale, Western Europe, Southern/Eastern Europe, and Other segments. The company offers laying systems for floors, parquet, tiles, and natural stone; and synthetic resin flooring products. It also provides product systems for installation of floor coverings; surface finishing of parquet flooring; machines and special tools for floor finishing; high-performance dry adhesives; and cleaning and maintenance products, as well as floor related services. In addition, the company engages in the leasing of business premises; and production of installation systems and machines and tools. It markets its products under the UZIN, WOLFF, PALLMANN, arturo, codex and Pajarito brand name. Uzin Utz SE was founded in 1911 and is headquartered in Ulm, Germany.",https://www.uzin-utz.com
DE0006219934,Jungheinrich AG O.N.VZO,JUN3.XETRA,Common Stock,"Jungheinrich Aktiengesellschaft, through its subsidiaries, provides products and solutions for the intralogistics sector with a portfolio of material handling equipment, automated systems, and matching services worldwide. It operates in two segments, Intralogistics and Financial Services. The Intralogistics segment engages in the development, production, sale, and short-term rental of new material handling equipment and warehousing equipment products, including automation; sale and short-term leasing of used trucks; and provides spare parts, as well as maintenance and repair services. The Financial Services segment engages in the sales financing and usage transfer of material handling and warehousing equipment products. The company's products include electric and hand pallet trucks, electric pallet stackers; order pickers; reach trucks; very narrow aisle trucks and EKX cold store high rack stacker; electric forklift; tow tractors, tugger train trailers, shuttles, and used forklift trucks. It also offers rental of fleet, and battery and charger; contract and event hire service; automated guided vehicles, conveyor technology, and stacker cranes; lithium-ion and lead-acid batteries; charging technology; powertrain solutions; electric drives/drivetrains; controllers; electromechanics components/control pedals/displays; electric mounting panels; and cable sets. In addition, the company provides warehouse racking and storage services; digital products and software solutions, including warehouse management system, fleet management system, device and process management solutions, and interface management; and wi-fi infrastructure, barcode scanners, and mobile workstations; as well as develops software applications. It distributes its products through its direct sales and service network, as well as through dealers. Jungheinrich Aktiengesellschaft was founded in 1953 and is headquartered in Hamburg, Germany.",https://www.jungheinrich.com
DE0006286560,OVB Holding AG,O4B.XETRA,Common Stock,"OVB Holding AG, through its subsidiaries, provides advisory and brokerage services to private households in Europe. It also provides advisory services to clients in structuring their finances; and brokerage services for various financial products offered by insurance companies, banks, building societies, and other enterprises. The company was founded in 1970 and is based in Cologne, Germany.",https://www.ovb.eu
DE000A12UPJ7,Pantaflix AG,PAL.XETRA,Common Stock,"Pantaflix AG operates as an entertainment company. It develops, finances, produces, and sells films and series. The company offers PANTAFLIX, a steaming platform. It also develops artificial intelligence generated content. The company was formerly known as PANTALEON Entertainment AG and changed its name to Pantaflix AG in August 2017. The company was founded in 2009 and is based in Munich, Germany. Pantaflix AG is a subsidiary of Blackmars Capital Gmbh.",https://www.pantaflixgroup.com
DE0005008007,ADO Properties SA,ADL.F,Common Stock,"ADLER is one of Germany's leading residential property companies with a focus on affordable housing. Its portfolio is primarily located in "" or on the outskirts of "" large and growing conurbations in northern, eastern and western Germany and has considerable upside potential in terms of revaluation gains, vacancy reduction and rent uplifts. All of the Group's properties and business operations are located in Germany. The Group's residential portfolio has been built up over the past six years by acquiring individual portfolios or shares in property-holding companies.",https://www.adler-ag.com
DE000A1RFMY4,Rcm Beteiligungs AG,RCMN.F,Common Stock,"RCM Beteiligungs AG is a public investment firm specializing in real estate. The firm seeks to invest in residential real estate. RCM Beteiligungs AG was founded in 1999 and is headquartered in Sindelfingen, Germany.",https://www.rcm-ag.de/
DE000A0D6554,Nordex SE,NDX1.F,Common Stock,"Nordex SE, together with its subsidiaries, develops, manufactures, and distributes multi-megawatt onshore wind turbines worldwide. It operates in Projects and Services segments. The company provides project development services, as well as acquires rights and creates the infrastructure required to construct wind power systems at suitable locations. It also offers maintenance and remote monitoring services for wind farms, as well as repair and technical enhancement services for existing turbines. The company was incorporated in 1985 and is headquartered in Hamburg, Germany.",https://www.nordex-online.com
DE0006636681,va-Q-tec AG,VQT.XETRA,Common Stock,"va-Q-tec AG develops, produces, and markets vacuum insulation panels and phase change materials in Germany, rest of European Union, and internationally. It also manufactures and distributes thermal packaging solutions and thermal energy storage components. In addition, the company supplies temperature controlled supply chain systems for healthcare and logistics companies; insulation of refrigeration/freezing equipment and ultra-low to appliance and food companies; insulating water boilers, pipelines, and laboratory equipment for technics and industry; building insulation solutions for facades, roofs, and floors; and insulation in refrigeration trucks, electric cars, trains, and aircraft. Further, it offers container rental and thermal consulting services. The company was founded in 2001 and is headquartered in Würzburg, Germany.",https://www.va-q-tec.com
DE000A1MME74,Netfonds AG,NF4.XETRA,Common Stock,"Netfonds AG provides advisory services for the financial, insurance, and real estate sectors. It also offers financial portfolio management services, as well as acts as a consultant. In addition, the company provides invoice, customer acquisition and retention, back office, legal, and consultant software services. It offers its services to investment advisors, insurance brokers, banks, and organizations. The company was founded in 2000 and is based in Hamburg, Germany.",https://www.netfonds.de
DE000A0DNAY5,bet-at-home.com AG,ACX.F,Common Stock,"bet-at-home.com AG, through its subsidiaries, provides online sports betting and gaming services. The company offers pre-match and live betting; and sports betting and online gaming licenses for casino, poker, games, and virtual sports services. It operates in Germany, Austria, Malta, and Gibraltar. The company was founded in 1999 and is based in Düsseldorf, Germany. bet-at-home.com AG is a subsidiary of BetClic Everest Group S.A.S.",https://www.bet-at-home.ag
DE0005200000,Beiersdorf Aktiengesellschaft,BEI.F,Common Stock,"Beiersdorf Aktiengesellschaft, together with its subsidiaries, manufactures and distributes consumer goods in Europe, the Americas, Africa, Asia, and Australia. It operates in two segments, Consumer Business and Tesa Business. The Consumer Business Segment offers skin and body care products. The Tesa Business segment provides adhesive tapes and self-adhesive solutions for industries, craft businesses, and consumers. This segment offers its system solutions to the automotive, electronics, printing and paper, and building and construction industries. It operates an online store. The company offers its products under the Aquaphor, NIVEA, Eucerin, La Prairie, Labello, Hansaplast, 8x4, Florena, Coppertone, HIDROFUGAL, SKIN STORIES, GAMMON, Maestro, tesa, Chantecaille, Elastoplast, and CURITAS brand names. The company was founded in 1882 and is headquartered in Hamburg, Germany. Beiersdorf Aktiengesellschaft operates as a subsidiary of maxingvest ag.",https://www.beiersdorf.com
DE0006223407,ProCredit Holding AG & Co KGaA,PCZ.XETRA,Common Stock,"ProCredit Holding AG, together with its subsidiaries, provides commercial banking services for small and medium enterprises and private customers in Europe, South America, and Germany. The company offers business loans for wholesale and retail trade; agriculture; forestry and fishing; production; transportation and storage; construction and real estate; hotel, restaurant, and catering; electricity, gas, steam, and air conditioning supply; and other activities, as well as investment and green loans; and private loans, such as housing, investment, and consumer loans. It also offers current, savings, and term deposit accounts. The company was formerly known as Internationale Micro Investitionen AG and changed its name to ProCredit Holding AG. The company was founded in 1998 and is based in Frankfurt am Main, Germany.",https://www.procredit-holding.com
DE0005909006,Bilfinger SE,GBF.XETRA,Common Stock,"Bilfinger SE provides industrial services to customers in the process industry primarily in Europe, North America, and the Middle East. The company offers engineering, project, maintenance, turnaround, rotating equipment, and inspection services. It also provides new construction and decommissioning of nuclear power plants, treatment of radioactive waste, and nuclear fusion services. In addition, the company offers energy efficiency, carbon capture, utilization, and storage; and hydrogen, hydropower, and wind power services. Further, it provides design and engineering, plant engineering and assembly, operation and optimization, bilfinger connected asset performance, and mobile and web application services. It serves customers in energy, chemicals and petrochemicals, pharma and biopharma, and oil and gas industries. The company was founded in 1880 and is headquartered in Mannheim, Germany.",https://www.bilfinger.com
DE0005403901,CEWE Stiftung & Co. KGaA,CWC.XETRA,Common Stock,"CEWE Stiftung & Co. KGaA operates as a photo service and online printing provider in Germany and internationally. The company operates through three segments: Photofinishing, Retail, and Commercial Online Printing. It offers photo prints, photo books, wall art, photo calendars, greeting cards, and other photo gifts. The company also provides online printing services under the SAXOPRINT, viaprinto, and LASERLINE brands; and markets photo products under the CEWE, WhiteWall, Cheerz, and DeinDesign brands, as well as business stationery products and printed advertising media services. In addition, it operates retail outlets and online shops that offers cameras, lenses, and photo equipment, as well as engages in real estate holding and equity investment businesses. CEWE Stiftung & Co. KGaA was founded in 1912 and is headquartered in Oldenburg, Germany.",https://www.cewe.de
DE000A0KEXC7,Vectron Systems AG,V3S.XETRA,Common Stock,"Vectron Systems AG provides POS systems, POS software, and digital and cloud based services worldwide. It offers stationary and mobile POS systems; POS PC, a POS system software; posmatic, an iPad POS system; Vectron Commander, a software for branch management and data maintenance; Vectron Journal Tool, a POS tool for evaluating and archiving journal data; and Vectron Contacts, a contact and invoice manager software. The company also provides myVectron reporting app; and bonVito, an online service with customer retention, online portals, orders, reservation, loyalty program, bonus cards, point collection systems, online payments and feedback, and various other functions. It offers its solutions solutions for hospitality, hotels, bakeries, and cafés. Vectron Systems AG was founded in 1990 and is based in Münster, Germany.",https://www.vectron-systems.com
DE0005313704,Carl Zeiss Meditec AG,AFX.F,Common Stock,"Carl Zeiss Meditec AG operates as a medical technology company in Germany, rest of Europe, North America, and Asia. It operates in two segments, Ophthalmology and Microsurgery. The Ophthalmology segment offers products and solutions for the diagnosis and treatment of chronic eye diseases, such as ametropia (refraction), cataracts, glaucoma, and renital disorders. This segment also provides devices for general ophthalmological examination and care, including slit lamps, refractometers, tonometers, optical coherence tomography devices, and fundus cameras; and devices for functional diagnostics (perimeters), as well as digital products for storage, evaluation, and sharing of clinical data. In addition, this segment offers surgical ophthalmology products comprising surgical microscopes, biometers, phacoemulsification, and vitrectomy devices; intraocular lenses for cataract patients; and systems and consumables for laser eye surgery. The Microsurgery segment provides products and solutions for invasive surgical treatments; and solutions in the area of ear, nose and throat, plastic and reconstructive, neuro, dental, and spinal surgeries. It serves physicians in various fields and hospitals. The company was founded in 1846 and is headquartered in Jena, Germany. Carl Zeiss Meditec AG is a subsidiary of Carl Zeiss AG.",https://www.zeiss.com/meditec-ag/de/investor-relat
DE000A0EQ578,HELMA Eigenheimbau Aktiengesellschaft,H5E.XETRA,Common Stock,"HELMA Eigenheimbau Aktiengesellschaft, together with its subsidiaries, provides a range of building services in Germany. The company engages in the development, planning, sale, and construction management of turnkey detached and semi-detached houses. It involved in the development, planning, and sale of holiday houses and apartments. In addition, it builds detached, semi-detached, and terraced houses; and constructs multi-storey residential buildings; and energy self-sufficient terraced and multi-family houses. HELMA Eigenheimbau Aktiengesellschaft was founded in 1980 and is headquartered in Lehrte, Germany.",https://www.helma.de
DE000A2BPP88,Beta Systems Software AG,BSS.F,Common Stock,"Beta Systems Software AG develops software products in Germany and internationally. The company offers output management and document archiving, workload automation, log management, quality management, access management, service and change management, and identity access management, IT operations management, and codelab solutions. It also offers data intelligence and other support services. The company was founded in 1983 and is headquartered in Berlin, Germany. Beta Systems Software AG is a subsidiary of Sparta AG.",https://www.betasystems.com
DE000A3E5A59,SynBiotic SE,SBX.F,Common Stock,"SynBiotic SE engages in the research and development, production, and marketing of cannabinoid and terpene-based solutions to for pain, sleep deprivation, and anxiety. It also offers hemp, cannabinoids, dietary supplements, and cosmetic products; medical cannabis products; and cannabis products for recreational use under the Hempamed, Princess Stardust, The Hempany, and Hempamed Rx brand names. The company was formerly known as Ledgertech SE and changed its name to SynBiotic SE. SynBiotic SE was founded in 2015 and is based in Munich, Germany.",https://www.synbiotic.com
DE0007231334,Sixt SE,SIX3.XETRA,Common Stock,"Sixt SE, through its subsidiaries, provides mobility services through corporate and franchise station network for private and business customers worldwide. It offers its products through SIXT app, which comprises SIXT rent, a car rental service; SIXT van & truck for commercial vehicle rental; SIXT share, a car sharing service, as well as offers micro-mobility services through e-scooters, e-mopeds, and e-bikes; SIXT+ for car subscriptions/long-term rentals; and SIXT ride, which includes transfer services, chauffeur services, and event transport services. The company was founded in 1912 and is headquartered in Pullach, Germany. Sixt SE is a subsidiary of Erich Sixt Vermögensverwaltung GmbH.",https://www.sixt.com
DE000A1MMCC8,Medios AG,ILM1.XETRA,Common Stock,"Medios AG, together with its subsidiaries, supplies specialty pharmaceutical drugs primarily in Germany. It operates through Pharmaceutical Supply and Patient-Specific Therapies segments. The Pharmaceutical Supply segment offers products on oncology, neurology, autoimmunology, ophthalmology, infectiology, and hemophilia diseases. The Patient-Specific Therapies segment manufactures medications for patients on behalf of pharmacies. This segment includes cytostatic infusion preparations, antibody therapies, virostatic and antibiotic medications, parenteral nutrition solutions, and investigational medicinal products. Medios AG was founded in 2016 and is headquartered in Berlin, Germany.",https://www.medios.ag
DE000A3E5ED2,Veganz Group AG,VEZ.F,Common Stock,"Veganz Group AG develops, produces, and sells plant-based food products under the Veganz brand name. It offers biscuits and bakery products, cheese alternatives, breakfast ingredients and protein products, spreads, honey alternatives, fish alternatives, basics, meat and sausage alternatives, natural snacks, ready meals, seasonal, sweets, beans, hemp seeds, muesli, etc., as well as vegan alternatives, salmon, sushi and bacon, and confectionery products. It also sells its products through point of sale, as well as through online shops. Veganz Group AG serves its customers through food retailers; discounters; drugstores; food servicers, such as company restaurants and popular sports; and online through distribution partners. The company serves in Germany, Austria, Switzerland, Slovakia, and internationally. Veganz Group AG was founded in 2011 and is based in Berlin, Germany.",https://www.veganz.de
DE000A1J5RX9,Telefonica Deutschland Holding AG,O2D.XETRA,Common Stock,"Telefónica Deutschland Holding AG, together with its subsidiaries, provides integrated telecommunication services to private and business customers in Germany. It offers fiber-to-the-home lines; broadband services, consisting of VDSL, cable, fiber, and fixed mobile substitution services; and machine to machine communication and managed connectivity services. The company offers digital services in the fields of Internet of Things, as well as O2 Tv and O2 cloud. In addition, it provides access to infrastructure and services for its wholesale partners. Further, the company provides its products and services through a network of independently operated franchise and premium partner shops, and online and telesales channels, as well as indirect selling channels, such as partnerships and co-operations with retailers. It markets its products and services under the O2, Blau, AY YILDIZ, Ortel Mobile, and Telefonica brand names. The company was formerly known as Telefónica Germany Verwaltungs GmbH and changed its name to Telefónica Deutschland Holding AG in September 2012. The company is based in Munich, Germany. Telefónica Deutschland Holding AG operates as a subsidiary of Telefonica Germany Holdings Limited.",https://www.telefonica.de
DE000A3H3LL2,Vantage Towers AG,VTWR.F,Common Stock,"Vantage Towers AG, a tower infrastructure company, engages in the acquisition, leasing, construction, maintenance, and management of passive network infrastructure for mobile communications in Germany, Spain, Greece, and other European Markets. Its product portfolio includes towers, masts, rooftop sites, distributed antenna systems, and small cells. The company also provides colocation, built-to-suit, energy, and transmission services. In addition, it offers various services ranging from site operation and maintenance to fibre-to-the-site, energy services, and power supply management. The company serves mobile network operators, federal agencies, and customers from utilities and technology sectors. Vantage Towers AG was founded in 2019 and is headquartered in Düsseldorf, Germany. Vantage Towers AG is a subsidiary of Vodafone GmbH.",https://www.vantagetowers.com
DE0006292006,KSB SE & Co. KGaA,KSB.XETRA,Common Stock,"KSB SE & Co. KGaA, together with its subsidiaries, manufactures and supplies pumps, valves, and related services worldwide. It operates through three segments: Pumps, Valves, and KSB SupremeServ. The Pumps segment offers single and multistage pumps, submersible pumps, and associated control and drive systems. The Valves segment provides butterfly, globe, gate, control, diaphragm, and ball valves, as well as associated actuators and control systems. The KSB SupremeServ segment is involved in the installation, commissioning, start-up, inspection, servicing, maintenance, and repair of pumps, valves, and related systems for various applications; modular service concepts and system analyses for complete systems; and spare parts for pumps and valves. Its products are used in energy and mining, water, building services, petrochemicals/ chemicals, and general industries. The company was formerly known as KSB Aktiengesellschaft and changed its name to KSB SE & Co. KGaA in January 2018. KSB SE & Co. KGaA was founded in 1871 and is headquartered in Frankenthal, Germany.",https://www.ksb.com
DE0005408686,ÖKOWORLD AG,VVV3.XETRA,Common Stock,"ÖKOWORLD AG, together with its subsidiaries, provides solutions for sustainable investment in Germany. The company offers private pension insurance, okowerk pension fund, employer funded pension, and investment funds, as well as asset management services. It serves private individuals and sales partners. The company was formerly known as versiko AG and changed its name to ÖKOWORLD AG in December 2013. ÖKOWORLD AG was founded in 1975 and is headquartered in Hilden, Germany.",https://www.oekoworld.com
DE0007480204,Deutsche EuroShop AG,DEQ.F,Common Stock,"Deutsche EuroShop is the only public company in Germany to invest exclusively in shopping centers in prime locations. The company currently has investments in 21 shopping centers in Germany, Austria, Poland, the Czech Republic and Hungary. The portfolio includes the Main-Taunus-Zentrum near Frankfurt, the Altmarkt-Galerie in Dresden and the Galeria Baltycka in Gdansk, among many others.",https://www.deutsche-euroshop.de
DE000A161077,Ernst Russ AG,HXCK.XETRA,Common Stock,"Ernst Russ AG is a publicly owned investment manager. It invest in shipping, alternative investments, real estate, private equity and renewable energy. Within ship participation, the firm invests in part-owning ships and funds for ship participation and dormant investments with conversion options. In property investment funds, it seeks to invest in closed ended property investment funds. Within private equity the firm seeks to invest in private equity and venture capital funds. It also invests in real estate investments. Ernst Russ AG formerly known as HCI Capital AG. Ernst Russ AG was founded in 1985 and is based in Hamburg, Germany.",https://www.ernst-russ.de
DE000BFB0027,Metro AG,B4B3.XETRA,Common Stock,"Metro AG operates as a food wholesale company in Germany and internationally. It operates bricks-and-mortar wholesale stores and delivery depots under the METRO, MAKRO, Classic Fine Foods, Pro à Pro, Aviludo, Pro a Pro Spain, Johan i Hallen & Bergfalk, and Rungis Express brand names serving hotels, restaurants, bars, cafés, catering companies, canteen operators, small grocery stores, and kiosks in Europe, Russia, and Asia, as well as online marketplace METRO MARKETS. The company also develops digital solutions; and offers food delivery services. In addition, it provides services in the areas of real estate, logistics, information technology, procurement, and advertising. The company was formerly known as METRO Wholesale & Food Specialist AG and changed its name to METRO AG in August 2017. Metro AG was founded in 1964 and is based in Düsseldorf, Germany.",https://www.metroag.de
DE000A3CRRN9,Cherry AG,C3RY.XETRA,Common Stock,"Cherry SE, together with its subsidiaries, manufactures and sells computer input devices in Germany. It offers keyboards, mice, desktop sets, USB terminals, card readers, headsets, microphones, mechanical switches, and accessories; and provides software solutions. The company serves office and home office, gaming, healthcare, security, POS, and IOT sectors. It sells its products through distributors, resellers, system houses, retailers, e-tailers, and DTC. Cherry SE was founded in 1953 and is headquartered in Auerbach, Germany.",https://www.cherry-world.com
